"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,0.5,1,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.25382821311375,0.460142566215721,6.19817036691227,0.460142566215721,6.23522407967155,0.461748555282837
"4-2",1000,1000,0.5,1,6,12,0.5,11.8571667745074,6.2489741284934,0.472979148616808,6.23977688345886,0.473754818320157,6.21328434775767,0.473754818320157,6.24351700029796,0.473439387415774
"4-3",1000,1000,0.5,1,6,12,0.5,11.8237129794169,6.14808147181202,0.480021082843027,6.17008861271293,0.478159811266221,6.17177409696381,0.478159811266221,6.15563663830072,0.479382098583019
"4-4",1000,1000,0.5,1,6,12,0.5,12.1689708734938,6.2509384660343,0.486321519624149,6.37816240952936,0.475866737143555,6.30043426607015,0.475866737143555,6.32626089408293,0.480131807377184
"4-5",1000,1000,0.5,1,6,12,0.5,11.4942771920919,6.09227803955991,0.469972931942911,6.10556328103865,0.46881711837963,6.07095470161512,0.46881711837963,6.13207590016398,0.466510525395813
"4-6",1000,1000,0.5,1,6,12,0.5,11.9248093718996,5.98846686340549,0.497814457519372,6.02529414312597,0.494726166665242,5.9898298810149,0.494726166665242,6.02675412154177,0.494603734652262
"4-7",1000,1000,0.5,1,6,12,0.5,11.5222828843041,6.44261821960337,0.440855750176068,6.47041610749352,0.43844321715902,6.40524651115376,0.43844321715902,6.45067915864741,0.440156154520851
"4-8",1000,1000,0.5,1,6,12,0.5,11.7486269366447,6.08852457223311,0.481767137124542,6.16032299915679,0.475655918570164,6.11374464938024,0.475655918570164,6.16889943353526,0.474925923956775
"4-9",1000,1000,0.5,1,6,12,0.5,12.4293197919314,6.2300995908533,0.498757800495434,6.26844872049781,0.495672424120341,6.20970851880747,0.495672424120341,6.23524588404334,0.49834375585935
"4-10",1000,1000,0.5,1,6,12,0.5,11.7890789002492,6.1932522738199,0.474661903086512,6.22916901029033,0.471615292170227,6.12969815144916,0.471615292170227,6.2533054074336,0.469567939926046
"4-11",1000,1000,0.5,1,6,12,0.5,12.2930825060509,6.35762870053166,0.482828761833957,6.35759787062862,0.482831269740581,6.33155649450581,0.482831269740581,6.35411973615388,0.483114204022769
"4-12",1000,1000,0.5,1,6,12,0.5,11.8236588902931,6.03697997114095,0.489415245555069,6.03366021058556,0.489696018248716,6.04868130806982,0.489696018248716,6.0519617681587,0.488148142270311
"4-13",1000,1000,0.5,1,6,12,0.5,11.9780150047502,6.00313856456277,0.498820250084671,6.07583664051359,0.492750957641642,6.07433440525961,0.492750957641642,6.10162676251846,0.490597836110684
"4-14",1000,1000,0.5,1,6,12,0.5,11.9554414036784,6.33797787479631,0.469866677373678,6.40755162720856,0.46404725590164,6.31664358691391,0.46404725590164,6.38786866914489,0.465693615697073
"4-15",1000,1000,0.5,1,6,12,0.5,11.590668799162,6.2619246794466,0.459744317782653,6.32149837485808,0.454604519860398,6.22674748827516,0.454604519860398,6.29968564134085,0.456486441766303
"4-16",1000,1000,0.5,1,6,12,0.5,10.9368126388332,6.21596688064961,0.431647310242964,6.34758606301515,0.419612800124523,6.33549217807365,0.419612800124523,6.31070592203466,0.422984910646883
"4-17",1000,1000,0.5,1,6,12,0.5,11.7805777497445,6.15036939303454,0.47792294031013,6.19143124637258,0.47443738516926,6.09786928073683,0.47443738516926,6.10345455603257,0.481905328780253
"4-18",1000,1000,0.5,1,6,12,0.5,11.9325711295842,6.18339715921197,0.481805128830818,6.23213254759604,0.477720896869841,6.17927232816506,0.477720896869841,6.22169626994154,0.478595501139212
