"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-35",1000,1000,0.3,1,6,12,0.5,11.7028520297037,6.02262234796679,0.48537140069101,6.02013692129242,0.485583778551386,5.9775718521713,0.485583778551386,6.0083707906328,0.486589185663238
"4-36",1000,1000,0.3,1,6,12,0.5,11.576411315499,6.14104977360407,0.469520423364521,6.39912141029047,0.44722753572836,6.41337606003953,0.44722753572836,6.42592441109374,0.444912224007586
"4-37",1000,1000,0.3,1,6,12,0.5,11.4036704189019,6.12133399084691,0.463213705238216,6.10707294420647,0.464464271601201,5.99835110399648,0.464464271601201,6.07803878248161,0.467010308154198
"4-38",1000,1000,0.3,1,6,12,0.5,12.3632131019027,6.30709671852869,0.489849712486309,6.42492705382518,0.480318991441117,6.17627968447777,0.480318991441117,6.40500470925675,0.481930412711964
"4-39",1000,1000,0.3,1,6,12,0.5,12.8358335524575,6.18168427154979,0.518404142100591,6.28754153640409,0.510157130761461,6.18335104682923,0.510157130761461,6.21836760440919,0.515546257358671
"4-40",1000,1000,0.3,1,6,12,0.5,12.5498825265301,6.3069562418931,0.497448981808365,6.35821336363896,0.493364710769372,6.2703532271328,0.493364710769372,6.37851338865481,0.491747163754655
"4-41",1000,1000,0.3,1,6,12,0.5,13.1868491126857,6.24707930864163,0.526264443063056,6.37804662339182,0.516332782085438,6.46653453815569,0.516332782085438,6.37196322453816,0.516794105241688
"4-42",1000,1000,0.3,1,6,12,0.5,12.2180650147413,6.39155228672026,0.476876880339995,6.2493750827963,0.488513518690865,6.03644732535036,0.488513518690865,6.27460013818354,0.486448948289839
"4-43",1000,1000,0.3,1,6,12,0.5,11.6115189832811,6.23927015659053,0.462665464735993,6.19960876216842,0.466081158624038,6.16635810948,0.466081158624038,6.18270126077374,0.467537255920096
"4-44",1000,1000,0.3,1,6,12,0.5,12.0711951391251,6.06051088440003,0.497936135192054,6.12218060723425,0.492827301963574,6.11479480443551,0.492827301963574,6.10542710089712,0.494215193232338
"4-45",1000,1000,0.3,1,6,12,0.5,11.500949634413,6.4106902080283,0.442594706367003,6.4928250401696,0.435453136779085,6.28195904137567,0.435453136779085,6.46506125450348,0.437867179666731
"4-46",1000,1000,0.3,1,6,12,0.5,12.2962395662208,6.13864669498288,0.500770405299644,6.1448630334909,0.500264857365698,6.03834294291459,0.500264857365698,6.171296355128,0.498115149603845
"4-47",1000,1000,0.3,1,6,12,0.5,11.7054161753925,6.11116287368908,0.477920068614376,6.27073017335592,0.464288148375411,6.35785605181105,0.464288148375411,6.2796553241749,0.463525667940264
"4-48",1000,1000,0.3,1,6,12,0.5,11.8999031064655,6.1406037552933,0.483978676098886,6.1630886748925,0.482089171671999,5.87548745700672,0.482089171671999,6.17482166917609,0.481103197737705
"4-49",1000,1000,0.3,1,6,12,0.5,12.0905152468604,6.24190005144061,0.483735810757819,6.35537359228891,0.474350475349739,6.29000632492591,0.474350475349739,6.32081513689192,0.477208786570673
"4-50",1000,1000,0.3,1,6,12,0.5,12.0360688252778,6.13783060113363,0.49004690067548,6.13669941587341,0.490140883625947,6.12715181641739,0.490140883625947,6.11911074713197,0.491602213649625
"4-51",1000,1000,0.3,1,6,12,0.5,12.192797221261,5.92908087191979,0.51372267049754,6.0404580361046,0.504588001712054,6.09760404772005,0.504588001712054,5.99955212497718,0.507942925966522
"4-52",1000,1000,0.3,1,6,12,0.5,11.8956852056425,6.32623436569971,0.468190839254977,6.43910770915262,0.45870224389442,6.41743010224796,0.45870224389442,6.45502154461639,0.457364461733185
