"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,0.7,0.5,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.23617961436234,0.461666069405631,6.34853987828392,0.461666069405631,6.21815876549269,0.463221706831836
"4-2",1000,1000,0.7,0.5,6,12,0.5,11.9980382730417,6.25024574052421,0.479061026620672,6.05645152815848,0.495213184828165,6.12140810332109,0.495213184828165,6.10683374901038,0.491013979949389
"4-3",1000,1000,0.7,0.5,6,12,0.5,11.5436037785813,6.16189991691711,0.466206564682145,6.18692771367832,0.464038455204267,6.18111826750721,0.464038455204267,6.2028428618843,0.462659756791601
"4-4",1000,1000,0.7,0.5,6,12,0.5,12.2873477398215,6.24823612584301,0.491490250121808,6.21852887519077,0.49390796070356,6.21065645885365,0.49390796070356,6.22123349277761,0.493687846676994
"4-5",1000,1000,0.7,0.5,6,12,0.5,11.5147404374964,6.18484241400539,0.462876089341523,6.25982563115095,0.456364156436689,6.20736859213605,0.456364156436689,6.2337411855722,0.458629465474295
"4-6",1000,1000,0.7,0.5,6,12,0.5,11.7460277330132,6.22130767834608,0.470347949131725,6.24059201942298,0.468706173587241,6.23020974942935,0.468706173587241,6.28997604871735,0.464501856143347
"4-7",1000,1000,0.7,0.5,6,12,0.5,12.918155780246,6.37629477802905,0.506408276343944,6.44315978127897,0.501232227658096,6.51476201328202,0.501232227658096,6.44535590435196,0.501062224825622
"4-8",1000,1000,0.7,0.5,6,12,0.5,12.0335305802052,6.30804619149663,0.475794227683007,6.13773078000448,0.489947630988626,6.16294115670528,0.489947630988626,6.21504036161374,0.483523117327072
"4-9",1000,1000,0.7,0.5,6,12,0.5,11.9558055640881,6.19589767364307,0.481766607826595,6.23780021826784,0.478261821436405,6.26332714217742,0.478261821436405,6.23649302844119,0.478371156589076
"4-10",1000,1000,0.7,0.5,6,12,0.5,11.6079528260497,6.09567301970849,0.474870968976626,6.07794349744241,0.476398328928184,6.09563634051522,0.476398328928184,6.07739491228162,0.476445588351875
"4-11",1000,1000,0.7,0.5,6,12,0.5,12.3662584131308,6.23748099747732,0.495604831380993,6.33345321323827,0.487844018647284,6.35803332828115,0.487844018647284,6.3404787414569,0.487275897879958
"4-12",1000,1000,0.7,0.5,6,12,0.5,12.7951962496375,6.37240983133364,0.501968574220641,6.28129965424493,0.509089229137622,6.38128220732746,0.509089229137622,6.27425238178553,0.509640004000462
"4-13",1000,1000,0.7,0.5,6,12,0.5,12.2821702458653,6.16439522492636,0.498102118638066,6.14658456807887,0.499552241579774,6.21082762577557,0.499552241579774,6.13629828080175,0.500389739112474
"4-14",1000,1000,0.7,0.5,6,12,0.5,11.6371083408897,5.99785660708138,0.484592182921723,5.93726977871893,0.489798530288067,5.99708660159371,0.489798530288067,5.95544626113489,0.488236588791648
"4-15",1000,1000,0.7,0.5,6,12,0.5,10.4691997413076,5.86084994342878,0.440181667343297,5.89917343050139,0.436521073599785,5.89496243090726,0.436521073599785,5.89443105345606,0.43697405731989
