"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",1000,1000,0.7,0.7,6,12,0.5,11.5842217254949,6.25822744239,0.459762805763918,6.14522288638707,0.469517846601425,6.16473709972267,0.469517846601425,6.10898359556152,0.472646178541567
"4-2",1000,1000,0.7,0.7,6,12,0.5,11.9980382730417,6.25024574052421,0.479061026620672,6.23571073704832,0.480272474954567,6.28560593574969,0.480272474954567,6.24389204365038,0.479590587931383
"4-3",1000,1000,0.7,0.7,6,12,0.5,11.5436037785813,6.16189991691711,0.466206564682145,6.18810145665465,0.463936776127365,6.18602753307882,0.463936776127365,6.17574830264045,0.465006905893697
"4-4",1000,1000,0.7,0.7,6,12,0.5,12.2873477398215,6.24823612584301,0.491490250121808,6.29726323409769,0.487500202042043,6.28219712858808,0.487500202042043,6.29380302139654,0.487781809820582
"4-5",1000,1000,0.7,0.7,6,12,0.5,11.5147404374964,6.18484241400539,0.462876089341523,6.2940899026233,0.453388468738096,6.26182757160439,0.453388468738096,6.28666742311153,0.454033075496889
"4-6",1000,1000,0.7,0.7,6,12,0.5,11.7460277330132,6.22130767834608,0.470347949131725,6.23675737257041,0.469032636876765,6.21960676384204,0.469032636876765,6.25206882017973,0.467729094270078
"4-7",1000,1000,0.7,0.7,6,12,0.5,12.918155780246,6.37629477802905,0.506408276343944,6.36300475690914,0.507437062599969,6.3673786332207,0.507437062599969,6.36882595719444,0.506986440979954
"4-8",1000,1000,0.7,0.7,6,12,0.5,12.0335305802052,6.30804619149663,0.475794227683007,6.34119222210446,0.47303975505447,6.39783661146235,0.47303975505447,6.37000329435571,0.470645522367794
"4-9",1000,1000,0.7,0.7,6,12,0.5,11.9558055640881,6.19589767364307,0.481766607826595,6.21988288871961,0.479760451491251,6.22254218905122,0.479760451491251,6.20096131599643,0.481343077824688
"4-10",1000,1000,0.7,0.7,6,12,0.5,11.6079528260497,6.09567301970849,0.474870968976626,6.18234452698764,0.467404406303779,6.2119377424297,0.467404406303779,6.2060685226599,0.465360635448765
"4-11",1000,1000,0.7,0.7,6,12,0.5,12.3662584131308,6.23748099747732,0.495604831380993,6.29588754341794,0.490881774172467,6.28119581998255,0.490881774172467,6.28237641358375,0.491974354432625
"4-12",1000,1000,0.7,0.7,6,12,0.5,12.7951962496375,6.37240983133364,0.501968574220641,6.25049212037157,0.511496971330262,6.28698908620987,0.511496971330262,6.23448091248185,0.512748316567751
"4-13",1000,1000,0.7,0.7,6,12,0.5,12.2821702458653,6.16439522492636,0.498102118638066,6.12184585203732,0.501566439033997,6.12673136279935,0.501566439033997,6.08244697649833,0.50477424960414
"4-14",1000,1000,0.7,0.7,6,12,0.5,11.6371083408897,5.99785660708138,0.484592182921723,5.99702547401045,0.484663603849206,6.01928001772213,0.484663603849206,5.99057284093912,0.485218091517647
"4-15",1000,1000,0.7,0.7,6,12,0.5,10.4691997413076,5.86084994342878,0.440181667343297,5.82826909709246,0.443293733894838,5.78956927300226,0.443293733894838,5.82700858059814,0.443414136268035
"4-16",1000,1000,0.7,0.7,6,12,0.5,11.3080218304786,6.31011689163885,0.441978713320913,6.28206952204317,0.444459020665217,6.29704082519649,0.444459020665217,6.30926730521404,0.442053844624827
