"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"30-1",1500,500,0.7,0.8,6,12,0.5,11.5607381842508,6.38942464054688,0.44731689804625,6.41559195723751,0.445053433873497,6.41559195723796,0.445053433873497,6.42010416440608,0.444663129457235
"30-2",1500,500,0.7,0.8,6,12,0.5,11.8709684578422,6.20759292638729,0.477077801324085,6.07909368531031,0.487902465001132,6.07909368530975,0.487902465001132,6.15333968515794,0.481648046912895
"30-3",1500,500,0.7,0.8,6,12,0.5,11.6704301955086,6.18393316252542,0.470119519252569,6.18065816322666,0.470400142952287,6.18065816322674,0.470400142952287,6.13934263955375,0.473940331529809
"30-4",1500,500,0.7,0.8,6,12,0.5,11.749843581945,6.09596331897772,0.481187704630819,6.14803808435219,0.476755750706386,6.14803808435175,0.476755750706386,6.02223714926695,0.487462355795031
"30-5",1500,500,0.7,0.8,6,12,0.5,12.6856850664873,6.2652201190211,0.506118898097794,6.35673272155948,0.498905050200835,6.35673272155899,0.498905050200835,6.36133065767623,0.498542599446882
"30-6",1500,500,0.7,0.8,6,12,0.5,12.5205284438149,6.16657669849592,0.507482713196326,6.1600870315289,0.50800103532595,6.16008703152821,0.50800103532595,6.25759177326265,0.500213445355503
"30-7",1500,500,0.7,0.8,6,12,0.5,11.648863927624,5.97358981775074,0.48719550207939,6.22304332286293,0.465781095776588,6.22304332286294,0.465781095776588,6.13859743594356,0.473030376688791
"30-8",1500,500,0.7,0.8,6,12,0.5,11.7581388251393,5.83394268798075,0.503837913913078,5.81714613781781,0.505266418067752,5.81714613781818,0.505266418067752,5.83226104435177,0.503980933455031
"30-9",1500,500,0.7,0.8,6,12,0.5,11.9562285231502,6.16610831879398,0.484276475072815,6.17257061948565,0.483735978487362,6.17257061948573,0.483735978487362,6.21399485891304,0.480271320769656
"30-10",1500,500,0.7,0.8,6,12,0.5,11.882981246885,5.99425483027049,0.495559682731819,5.92797821761948,0.501137122540402,5.92797821761921,0.501137122540402,5.91638230630361,0.502112964467183
