"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"30-1",1000,1500,0.7,0.8,6,12,0.5,11.3805959516894,6.18996508572537,0.456094820341419,6.14339303176799,0.460187053661631,6.14339303176806,0.460187053661631,6.15877740938386,0.458835245928436
"30-2",1000,1500,0.7,0.8,6,12,0.5,11.7318081221446,6.27473175213664,0.465152201024098,6.30253530490553,0.462782271983372,6.30253530490587,0.462782271983372,6.32180648878343,0.461139628012617
"30-3",1000,1500,0.7,0.8,6,12,0.5,11.6141039613576,6.04457940771485,0.479548363969673,6.15286177230046,0.470225013244908,6.15286177230027,0.470225013244908,6.12976933782076,0.472213322851619
"30-4",1000,1500,0.7,0.8,6,12,0.5,12.341805877098,6.31403388887506,0.488402754689921,6.32000646366961,0.48791882431101,6.32000646366965,0.48791882431101,6.29443329797264,0.489990900792494
"30-5",1000,1500,0.7,0.8,6,12,0.5,12.2292184035154,6.31769194926092,0.483393644564821,6.31972283615448,0.483227576151735,6.31972283615426,0.483227576151735,6.30621123473179,0.484332438374067
"30-6",1000,1500,0.7,0.8,6,12,0.5,10.960014856786,6.21387510904268,0.433041360779241,6.33436548626485,0.42204772812485,6.33436548626473,0.42204772812485,6.26465698332201,0.428407984370277
"30-7",1000,1500,0.7,0.8,6,12,0.5,11.9316457489351,6.42484363602132,0.461529132593067,6.62691185997147,0.444593646223286,6.6269118599716,0.444593646223286,6.59344609338605,0.44739843671821
"30-8",1000,1500,0.7,0.8,6,12,0.5,11.3937808258399,6.14407809398447,0.460751598797623,6.20663380707817,0.455261260335799,6.20663380707826,0.455261260335799,6.27381784921613,0.449364706490776
"30-9",1000,1500,0.7,0.8,6,12,0.5,11.4265635106496,6.19106519151553,0.458186603019759,6.33094791956696,0.445944713503191,6.33094791956679,0.445944713503191,6.30663553790167,0.448072420721781
"30-10",1000,1500,0.7,0.8,6,12,0.5,11.4392408391724,6.1392523429931,0.463316453486151,6.15111266691259,0.462279643081839,6.15111266691266,0.462279643081839,6.16723177953857,0.460870536231777
