"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",500,1000,0.3,0.5,6,12,0.5,11.3619700088918,6.10295775401943,0.462860951996591,5.99753424680869,0.472139581242068,6.19535500305299,0.472139581242068,6.04117762878388,0.468298400360493
"4-2",500,1000,0.3,0.5,6,12,0.5,12.4671752834267,6.12988651401673,0.508317932918972,6.15081576786477,0.506639184255202,6.44921284698071,0.506639184255202,6.0828876849426,0.512087738669326
"4-3",500,1000,0.3,0.5,6,12,0.5,11.6488662066531,6.09672244791833,0.476625249207834,6.21647814417402,0.466344789793913,6.57230015233034,0.466344789793913,6.23975517154579,0.464346567223679
"4-4",500,1000,0.3,0.5,6,12,0.5,11.3879813049022,6.14649503349146,0.460264741491488,6.25521349217919,0.450717969699641,6.37166783588593,0.450717969699641,6.27012296946031,0.449408740532334
"4-5",500,1000,0.3,0.5,6,12,0.5,12.1569344077509,6.51616048098714,0.463996410408152,6.44956724344604,0.469474208947449,6.14517483492086,0.469474208947449,6.37806826522901,0.475355541840998
"4-6",500,1000,0.3,0.5,6,12,0.5,11.5048914003644,6.20913487139953,0.460304782085743,6.16158676674463,0.464437642014642,6.04147223121593,0.464437642014642,6.1963922950117,0.46141236110969
"4-7",500,1000,0.3,0.5,6,12,0.5,12.2531100699699,6.52626376974914,0.467378997456019,6.70504187712889,0.452788570506545,6.79497156059559,0.452788570506545,6.70610083242786,0.452702147117469
"4-8",500,1000,0.3,0.5,6,12,0.5,11.8226011205553,6.50597449433445,0.449700245488034,6.54793045419843,0.446151452846199,6.30775833357008,0.446151452846199,6.62314196107551,0.439789781153975
"4-9",500,1000,0.3,0.5,6,12,0.5,13.0585555653419,6.51607677639415,0.501010908611655,6.15667016223979,0.528533601481933,6.0822949165178,0.528533601481933,6.21096686057604,0.524375660883942
"4-10",500,1000,0.3,0.5,6,12,0.5,10.993792036873,6.37357873342511,0.420256567338345,6.54180276049857,0.404954838279868,6.45374780978543,0.404954838279868,6.45561743726548,0.412794291940991
"4-11",500,1000,0.3,0.5,6,12,0.5,12.4846052059392,6.56876983874046,0.473850415741177,6.78703889395071,0.456367359480302,6.64199919567434,0.456367359480302,6.75565924369677,0.458880827045862
"4-12",500,1000,0.3,0.5,6,12,0.5,12.5554281006365,6.36573798731448,0.492989172787207,6.30600867096917,0.497746423266167,6.26523440613829,0.497746423266167,6.3277974917857,0.49601101284114
"4-13",500,1000,0.3,0.5,6,12,0.5,12.1600440402466,6.08931063575312,0.499236136349583,5.85672550012097,0.518363134151758,5.66175043456402,0.518363134151758,5.97488785223595,0.508645870651404
"4-14",500,1000,0.3,0.5,6,12,0.5,12.4339717868393,6.24436434241074,0.497798093042155,6.17925355425287,0.503034616759121,6.28160270891635,0.503034616759121,6.1178956957892,0.507969311763706
"4-15",500,1000,0.3,0.5,6,12,0.5,11.6277761113852,6.26540890991825,0.461168769513585,6.11858931675183,0.473795396631273,6.30064585304048,0.473795396631273,6.06966930153858,0.478002565288859
"4-16",500,1000,0.3,0.5,6,12,0.5,12.0360882695562,6.53987948472938,0.456644107432214,6.47290806155287,0.462208325779291,6.40924868193049,0.462208325779291,6.52407520885249,0.457957181540923
"4-17",500,1000,0.3,0.5,6,12,0.5,12.5745132721863,6.31721390179664,0.497617620256545,6.36911355555761,0.493490251456055,6.27805655107862,0.493490251456055,6.37776593391352,0.492802162925817
"4-18",500,1000,0.3,0.5,6,12,0.5,12.6574981942077,6.63703565996025,0.475643957587331,6.60378908382307,0.478270588508155,6.57864761549822,0.478270588508155,6.67467799919699,0.472670041363194
"4-19",500,1000,0.3,0.5,6,12,0.5,11.3330770452099,6.55710363382637,0.421418948475443,6.46357530862089,0.429671634381695,6.62589079274112,0.429671634381695,6.45832774038352,0.430134665579351
"4-20",500,1000,0.3,0.5,6,12,0.5,10.7567016268982,6.16954906312821,0.426446016899767,6.15606435343027,0.427699626990078,6.12340798688014,0.427699626990078,6.13105912555253,0.430024245515817
"4-21",500,1000,0.3,0.5,6,12,0.5,10.8015025834273,6.06516705775851,0.438488579629255,6.02243639086395,0.442444572470485,6.03706653132474,0.442444572470485,6.02476381703497,0.442229100025513
"4-22",500,1000,0.3,0.5,6,12,0.5,11.3509198580215,6.55360648379005,0.422636529394688,6.59012944079602,0.419418908491466,6.56653660060677,0.419418908491466,6.64526424577695,0.414561610081243
