"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-1",500,1500,0.3,0.5,6,12,0.5,11.4062903498405,6.26697858565857,0.450568204609469,6.17448058159299,0.458677589977419,6.19569601140256,0.458677589977419,6.13036783145011,0.462544995487002
"4-2",500,1500,0.3,0.5,6,12,0.5,12.2169201930191,6.46070774293954,0.471167230294976,6.37513594142253,0.47817159802146,6.34098461146028,0.47817159802146,6.46686124994912,0.470663543038911
"4-3",500,1500,0.3,0.5,6,12,0.5,11.524718350543,6.42468074522298,0.442530346529442,6.44431207695411,0.440826935553658,6.3528521934213,0.440826935553658,6.42316306508845,0.442662035659568
"4-4",500,1500,0.3,0.5,6,12,0.5,12.2169759478327,6.56305419787158,0.462792246960603,6.75718663756844,0.44690186291419,6.79227940439153,0.44690186291419,6.77761320698206,0.445229880461179
"4-5",500,1500,0.3,0.5,6,12,0.5,11.6567186052694,6.2034345036073,0.467823260243835,6.24798770710163,0.464001155155514,6.1130150274966,0.464001155155514,6.17604832230574,0.470172650516426
"4-6",500,1500,0.3,0.5,6,12,0.5,11.2997640711502,6.43740463188144,0.430306279728707,6.15949995079905,0.454900127824343,6.11748524126964,0.454900127824343,6.17333624529746,0.45367565141835
"4-7",500,1500,0.3,0.5,6,12,0.5,13.1747754687889,6.82634127157399,0.481862800034382,6.79750882861078,0.484051258048828,6.8281052217296,0.484051258048828,6.82701128878388,0.481811943971485
"4-8",500,1500,0.3,0.5,6,12,0.5,12.2200165799588,6.48546073601319,0.469275618934139,6.49252160444692,0.468697807243989,6.37065212381132,0.468697807243989,6.5350315431953,0.465219093572021
"4-9",500,1500,0.3,0.5,6,12,0.5,11.4292608566513,6.48327075819344,0.432748028108881,6.74155373893624,0.410149630541248,6.82830559505211,0.410149630541248,6.72308960577187,0.411765144737306
"4-10",500,1500,0.3,0.5,6,12,0.5,12.0526482192847,6.17900018781401,0.487332569955258,6.15534323006613,0.489295371599965,6.02454369005237,0.489295371599965,6.21420723472805,0.484411465292325
"4-11",500,1500,0.3,0.5,6,12,0.5,12.0135171120183,6.66212905782841,0.445447241161071,6.45452963774984,0.462727727644991,6.19285673747608,0.462727727644991,6.50800095208555,0.458276798426085
"4-12",500,1500,0.3,0.5,6,12,0.5,12.8889546186577,6.70588534855578,0.47971844521444,6.74605825845669,0.476601597410293,6.728632571548,0.476601597410293,6.73198809062765,0.477693242795456
"4-13",500,1500,0.3,0.5,6,12,0.5,12.5236675255558,6.66738078859362,0.467617550930016,6.70383538114143,0.464706694946861,6.90961909920219,0.464706694946861,6.69689270266078,0.465261059590164
"4-14",500,1500,0.3,0.5,6,12,0.5,11.8939375973794,6.266252454482,0.473155765012365,6.0222944972964,0.493666882982192,5.98398209481315,0.493666882982192,6.11957929663821,0.485487522821159
"4-15",500,1500,0.3,0.5,6,12,0.5,10.6854929250962,5.89791396593472,0.448044745593087,5.93395724420018,0.444671641655054,5.6709812002112,0.444671641655054,6.011836379833,0.437383336269543
"4-16",500,1500,0.3,0.5,6,12,0.5,10.9052662892948,6.27866008746712,0.424254307881451,6.36910545596808,0.415960574734398,6.39613640996427,0.415960574734398,6.4327731443333,0.410122323134095
"4-17",500,1500,0.3,0.5,6,12,0.5,12.3398105902624,6.57698517993114,0.467010848195579,6.48120047951779,0.474773098654183,6.45741492849343,0.474773098654183,6.50632095894777,0.472737372153665
"4-18",500,1500,0.3,0.5,6,12,0.5,12.1443073440776,6.44186841490878,0.469556539340198,6.70055192484237,0.448255735382883,6.77023076200518,0.448255735382883,6.67828450205616,0.45008930416168
"4-19",500,1500,0.3,0.5,6,12,0.5,11.5175545938062,6.39504406458221,0.444756783004849,6.61243783582635,0.42588178923134,6.59482127890792,0.42588178923134,6.60405684911724,0.426609459904906
"4-20",500,1500,0.3,0.5,6,12,0.5,11.6498598748059,6.48852073504445,0.443038731386239,6.47353920371358,0.444324715208522,6.44992563411279,0.444324715208522,6.52356766014273,0.440030375451068
"4-21",500,1500,0.3,0.5,6,12,0.5,11.9061219544036,6.22943485025638,0.476787246585162,6.18439992488154,0.480569748187893,5.88370434029945,0.480569748187893,6.17104408442555,0.481691510631377
"4-22",500,1500,0.3,0.5,6,12,0.5,11.4736982850184,6.30681024680043,0.450324551846074,6.40633465513832,0.441650416805601,6.21535919045161,0.441650416805601,6.42422952291678,0.44009077427937
"4-23",500,1500,0.3,0.5,6,12,0.5,11.9511965721144,6.27571511495528,0.474888135502821,6.23427180427863,0.478355847746242,6.16401435991173,0.478355847746242,6.30461151942668,0.472470268446829
"4-24",500,1500,0.3,0.5,6,12,0.5,11.8461896116314,6.38736280168256,0.460808664128504,6.36082209560246,0.463049106578795,6.23834498972537,0.463049106578795,6.38220588910382,0.461243986603309
"4-25",500,1500,0.3,0.5,6,12,0.5,11.6499519366683,6.45345042865072,0.446053471831207,6.45885331642089,0.445589702727305,6.57712464871493,0.445589702727305,6.45882835695541,0.445591845179533
"4-26",500,1500,0.3,0.5,6,12,0.5,11.8715359154108,6.2261924520622,0.475536064042078,6.19365370369534,0.478276968723554,6.11466224924603,0.478276968723554,6.25851804834534,0.47281311424742
"4-27",500,1500,0.3,0.5,6,12,0.5,11.0949183311037,5.99610079950892,0.45956332254386,6.02025792680411,0.457386007977473,5.96663071267351,0.457386007977473,5.88032993666333,0.469997907043778
"4-28",500,1500,0.3,0.5,6,12,0.5,11.1056223247618,6.24389602279649,0.437771622318301,6.16417823796025,0.444949768891726,6.14034021734527,0.444949768891726,6.1661163442973,0.444775253112207
"4-29",500,1500,0.3,0.5,6,12,0.5,13.0539305304139,6.4387488344638,0.506757844354818,6.38648668376375,0.510761401029054,6.53071802450613,0.510761401029054,6.49219846397545,0.502663320534034
"4-30",500,1500,0.3,0.5,6,12,0.5,11.8576423193244,6.35165406523415,0.464340895585722,6.45281939772433,0.455809238974246,6.7226295120552,0.455809238974246,6.48263246828047,0.453294989534663
"4-31",500,1500,0.3,0.5,6,12,0.5,12.8668149111492,6.39120734142436,0.503279763829795,6.325966521816,0.508350235431265,6.38311782687004,0.508350235431265,6.47306463980081,0.496917870933867
"4-32",500,1500,0.3,0.5,6,12,0.5,13.0098751021406,6.45585248342365,0.503772908445413,6.43670856775243,0.505244399564346,6.52509889441976,0.505244399564346,6.45113346607086,0.504135634245296
"4-33",500,1500,0.3,0.5,6,12,0.5,12.9948942445409,6.50195266359687,0.499653283725005,6.5302587003394,0.497475040777439,6.66759743266762,0.497475040777439,6.56775971285005,0.494589214097749
"4-34",500,1500,0.3,0.5,6,12,0.5,12.8384863797767,6.2950533561029,0.509673245748117,6.13158542661178,0.522405893869987,6.16679613525351,0.522405893869987,6.17904487116812,0.518709239673189
"4-35",500,1500,0.3,0.5,6,12,0.5,10.9235203176177,6.36161737041063,0.417622049903593,6.49341525402162,0.405556536243274,6.71444994875148,0.405556536243274,6.46189473820286,0.408442100136804
"4-36",500,1500,0.3,0.5,6,12,0.5,12.5839334745543,6.56805398041489,0.478060338311862,6.5627213432156,0.47848410383876,6.52728345539228,0.47848410383876,6.60931096132984,0.474781794206525
"4-37",500,1500,0.3,0.5,6,12,0.5,12.4299826416318,6.47414833175743,0.479150653833293,6.37115199649102,0.487436774436667,6.40820555235782,0.487436774436667,6.38340723268806,0.486450832899147
"4-38",500,1500,0.3,0.5,6,12,0.5,12.7492635077107,6.31911294635139,0.504354667818294,6.16931188646004,0.516104449270434,6.27008837672206,0.516104449270434,6.06014895644024,0.52466674229652
"4-39",500,1500,0.3,0.5,6,12,0.5,12.3678374839296,6.26984950141882,0.49305207886458,6.14567503179553,0.503092190548182,5.9372892298562,0.503092190548182,6.1970239569996,0.498940379427539
"4-40",500,1500,0.3,0.5,6,12,0.5,12.7968652494503,6.66301154256218,0.479324708615778,6.84889983878609,0.464798628001473,6.72649426896511,0.464798628001473,6.85589345128188,0.46425211818368
