"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"30-1",500,500,0.7,0.8,6,12,0.5,10.8346827008676,6.10532102898831,0.436502092627096,5.81817984535013,0.463004131640678,5.81817984535017,0.463004131640678,5.9087998882687,0.454640246382523
"30-2",500,500,0.7,0.8,6,12,0.5,12.2115789653496,6.26858466849123,0.486668784906654,6.33983725166465,0.480833947055169,6.33983725166466,0.480833947055169,6.37803646490558,0.477705832881784
"30-3",500,500,0.7,0.8,6,12,0.5,12.1902363111478,6.00638612084608,0.507278942955903,5.91351318432648,0.514897575946197,5.91351318432658,0.514897575946197,5.96648900440208,0.510551817691523
"30-4",500,500,0.7,0.8,6,12,0.5,12.3274948632928,6.27840834794839,0.490698765842246,6.397204365468,0.481062094414919,6.39720436546812,0.481062094414919,6.3788250658958,0.482553013679215
"30-5",500,500,0.7,0.8,6,12,0.5,12.8019721059416,5.91781694306202,0.537741771807526,5.78356470034765,0.548228612553887,5.78356470034765,0.548228612553887,5.83716792562728,0.544041505689723
"30-6",500,500,0.7,0.8,6,12,0.5,11.471798110286,6.20679635148575,0.458951744807944,6.08448293390501,0.469613841229522,6.08448293390493,0.469613841229522,6.11726914525524,0.466755857586937
"30-7",500,500,0.7,0.8,6,12,0.5,12.1223463892246,5.92028729509199,0.511621999157319,5.81086000379225,0.520648905977686,5.81086000379234,0.520648905977686,5.85628107899511,0.516902017896412
"30-8",500,500,0.7,0.8,6,12,0.5,11.6327792500741,6.31836733398721,0.456847998388092,6.43061021393833,0.447199153727827,6.43061021393829,0.447199153727827,6.3995268112699,0.449871206725672
"30-9",500,500,0.7,0.8,6,12,0.5,12.4997280589217,6.37768203167633,0.489774337360542,6.40417747105531,0.487654656095951,6.40417747105525,0.487654656095951,6.41204956504313,0.487024874875855
"30-10",500,500,0.7,0.8,6,12,0.5,12.5194069726461,5.98750456196271,0.521742157991594,6.00098839959801,0.520665123139642,6.00098839959804,0.520665123139642,6.10187630539994,0.512606601995441
