"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,0.8,0.5,12,6,0.483214123470372,0.580513828511634,0.47230087806945,0.611032220754342,0.468784976129207,0.608115135804511,NA,11.5921089425944,15.0210536591838,11.3601351792316,14.2947416512308,11.4242556855982,14.3368571035054,NA,5.9906381807256,6.30112429121231,5.99473335909289,5.56019391496966,6.06873625673111,5.61839729899733,NA
"30-2",1000,1000,0.3,0.8,0.5,12,6,0.531538195485771,0.620440048172843,0.54002929890576,0.649229693566339,0.541989471308839,0.651198051025679,NA,12.6790751379883,16.1912773603071,12.6256355524899,15.4866321768382,12.6388756758844,15.5121139494371,NA,5.93966241871348,6.14556045489831,5.80742243683914,5.43225071429495,5.78873813037368,5.41065557827542,NA
"30-3",1000,1000,0.3,0.8,0.5,12,6,0.530159449446341,0.597445490721294,0.505683900226783,0.621130748640357,0.509178297987202,0.624372365093352,NA,12.788484382582,16.5683887631046,12.9542238366891,15.9562932049781,12.832535665959,15.8329997748715,NA,6.00854854305918,6.66967960807042,6.40348140254141,6.04534886104503,6.29848699670592,5.94731225891249,NA
"30-4",1000,1000,0.3,0.8,0.5,12,6,0.496951120143001,0.591782815382338,0.496720862670591,0.617997774548916,0.495628323447777,0.619415015513103,NA,11.712857291309,15.2923507218409,11.5772003130332,14.6490869034266,11.6199621875756,14.6372880804894,NA,5.89213974031787,6.24260035785579,5.82656338623313,5.5959837979353,5.86077981002096,5.5707320570433,NA
"30-5",1000,1000,0.3,0.8,0.5,12,6,0.506012113386312,0.600682184940422,0.512963075902788,0.628444962909993,0.511428780008949,0.627723378686589,NA,12.1975486888495,15.7308821209997,12.0105179133331,15.0410611720339,12.0481741211792,15.0603818193265,NA,6.02544129867235,6.28162147751738,5.8495657013242,5.58858204164811,5.88639112904911,5.6066280593888,NA
"30-6",1000,1000,0.3,0.8,0.5,12,6,0.495723566542273,0.581476215490656,0.47760992335777,0.609328530451142,0.476459216996112,0.607854368928369,NA,12.0321697361688,15.662944302526,11.954635436376,14.9530403937954,11.9758333190465,14.9797054839588,NA,6.06753964131321,6.55531472605225,6.24498292183839,5.8417262648675,6.26983715297764,5.87422606027419,NA
"30-7",1000,1000,0.3,0.8,0.5,12,6,0.481848390215474,0.589546944194077,0.492841434552336,0.61312623472043,0.499463579793662,0.61814599615205,NA,11.7480595345657,15.7875208360607,12.1997927546046,15.1747058143744,12.040313100487,15.0543170805261,NA,6.08727595967968,6.48003617076078,6.18722939218408,5.87069557541682,6.02661521748124,5.74855125239548,NA
"30-8",1000,1000,0.3,0.8,0.5,12,6,0.462308089998909,0.558919960657674,0.453135355570047,0.590372319299294,0.450579528637706,0.587792165855744,NA,11.0785136064407,14.5038757683328,10.9395246160552,13.7432207053156,10.9936608006401,13.7936151469185,NA,5.95682714102017,6.39737009451245,5.98243923939176,5.62960362287637,6.04014229908485,5.68583622473068,NA
"30-9",1000,1000,0.3,0.8,0.5,12,6,0.476286031757765,0.580658596169796,0.468143724178224,0.605883308611587,0.471505218496447,0.608524963029386,NA,11.7507469917627,15.5201436547854,11.9226430913031,14.8934346492223,11.8075703194754,14.7911093964158,NA,6.15403033686656,6.50823882784416,6.3411325524927,5.86975118736104,6.240239296079,5.79035009779826,NA
"30-10",1000,1000,0.3,0.8,0.5,12,6,0.467279193099929,0.56260361395646,0.447817298597345,0.592767756964565,0.448131318631541,0.593212866375589,NA,11.3223023715568,14.9379533888572,11.2787561038242,14.1772544815591,11.2754250727605,14.1723638755476,NA,6.03162605534235,6.53380682717298,6.22793401387135,5.77343514260947,6.22255396677319,5.76513527761615,NA
