"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,0.6,0.5,12,6,0.483214123470372,0.602722976083072,0.516755713459203,0.620808368961773,0.520179490499911,0.624117060039698,NA,11.5921089425944,15.5311351155636,12.1668950735327,15.1617011917944,12.0934567326827,15.0896119842365,NA,5.9906381807256,6.17016313676279,5.87958252922604,5.74919020423073,5.80268857109309,5.67192771549501,NA
"30-2",1000,1000,0.7,0.6,0.5,12,6,0.531538195485771,0.616286677691914,0.540143650255639,0.631349363618209,0.545806637372286,0.637055811654703,NA,12.6790751379883,16.0292274979866,12.8626631493401,15.6879075369805,12.8071191753793,15.6425437431579,NA,5.93966241871348,6.15062813728456,5.91497732384686,5.78335709700658,5.81690852383942,5.67737034251625,NA
"30-3",1000,1000,0.7,0.6,0.5,12,6,0.530159449446341,0.624273227807627,0.552023324230786,0.64257918749624,0.549389417957557,0.640063197057472,NA,12.788484382582,16.4419767921007,13.043983174359,16.0546018306713,13.0713403482353,16.0744489091013,NA,6.00854854305918,6.17769086855791,5.8434002212389,5.73824883074287,5.89008428239319,5.78578574940492,NA
"30-4",1000,1000,0.7,0.6,0.5,12,6,0.496951120143001,0.592660063719121,0.503925492514315,0.608173746905351,0.50611051514391,0.610137530245559,NA,11.712857291309,15.0828535759248,11.8573716887326,14.7278785344975,11.8292389241559,14.7091482251578,NA,5.89213974031787,6.14384861455102,5.88213982056274,5.77076946220525,5.84233671849099,5.73454485504419,NA
"30-5",1000,1000,0.7,0.6,0.5,12,6,0.506012113386312,0.588720377611573,0.497986162896976,0.602698739674711,0.499483141506451,0.60405391890945,NA,12.1975486888495,15.6863688944785,12.4025129675512,15.3629134808366,12.3667855388235,15.3302367003748,NA,6.02544129867235,6.4514838755667,6.22623312456037,6.10370488820476,6.18978464755538,6.06994714370392,NA
"30-6",1000,1000,0.7,0.6,0.5,12,6,0.495723566542273,0.590068257220029,0.494690800737976,0.605689404171119,0.492425969976605,0.603366752709612,NA,12.0321697361688,15.3615075676265,11.9558446881116,15.0098918028586,11.9726309488014,15.0197466850026,NA,6.06753964131321,6.29716956892486,6.04139830585082,5.91855938011221,6.07699654066595,5.95733090115163,NA
"30-7",1000,1000,0.7,0.6,0.5,12,6,0.481848390215474,0.588570393865177,0.491158108673689,0.602695442459081,0.490542589210951,0.602144713680635,NA,11.7480595345657,14.9830132921157,11.6415000356296,14.6496387593648,11.6539731533372,14.6603525846509,NA,6.08727595967968,6.16445525748799,5.92368289600508,5.82036824542373,5.93720298810428,5.83269877510912,NA
"30-8",1000,1000,0.7,0.6,0.5,12,6,0.462308089998909,0.571145912598798,0.476492972710064,0.587419097679704,0.4787905396036,0.589565337699467,NA,11.0785136064407,14.6958904558126,11.5122129406955,14.3546433563438,11.4554244783238,14.3004584170907,NA,5.95682714102017,6.30239268997555,6.02672437411224,5.92245170844635,5.97067561095884,5.86940382116143,NA
"30-9",1000,1000,0.7,0.6,0.5,12,6,0.476286031757765,0.575004401016848,0.472286984149371,0.591319138091891,0.46971805199973,0.588809882861319,NA,11.7507469917627,15.0938120468192,11.6522159770071,14.7342859169247,11.6685619933316,14.7372355051051,NA,6.15403033686656,6.41480369177704,6.14902603456928,6.02162066812929,6.1876277841858,6.05980559364449,NA
"30-10",1000,1000,0.7,0.6,0.5,12,6,0.467279193099929,0.59439256751454,0.504662291889576,0.610917953722353,0.510373865582973,0.61658339769511,NA,11.3223023715568,15.1145995283553,11.8125002157587,14.7365868202229,11.742817839903,14.679323291885,NA,6.03162605534235,6.13059390774214,5.85117678392782,5.73374135516053,5.74959050611501,5.62829626070958,NA
"30-11",1000,1000,0.7,0.6,0.5,12,6,0.47158142417166,0.557294839761022,0.456530634308482,0.574038842428939,0.454705135368681,0.572351975301284,NA,11.618563328892,14.5564626548454,11.2987223696454,14.1680831003614,11.3374805292511,14.2015693970948,NA,6.1394646874245,6.44422113212605,6.14050947935576,6.03505307799295,6.18226991045821,6.07327310028933,NA
"30-12",1000,1000,0.7,0.6,0.5,12,6,0.463581282118794,0.567984580967078,0.466107549884819,0.5845012135923,0.466249226556686,0.584518034454653,NA,11.1471236049756,14.7720061138633,11.4254346637374,14.4093488825335,11.4087314787343,14.3922426619719,NA,5.97952575224436,6.38173441123752,6.09995330625367,5.9870669736178,6.08941925078154,5.97971726980168,NA
"30-13",1000,1000,0.7,0.6,0.5,12,6,0.523324346045178,0.618764271248626,0.540035839728169,0.633356322906067,0.5411497282724,0.634669281824467,NA,12.6316767453555,16.0899310353143,12.8199338485821,15.7468209458691,12.7929121309309,15.7134669132344,NA,6.02121277313826,6.13405658380742,5.89671010740349,5.77347233413321,5.87003120746498,5.74061215243942,NA
"30-14",1000,1000,0.7,0.6,0.5,12,6,0.497100313567648,0.602171247699657,0.514375414631092,0.617304572475506,0.517769684521329,0.62050228386997,NA,12.0991979309726,15.1435191857626,11.9036539185381,14.7942948767636,11.8632322643103,14.7648669533984,NA,6.08468284556907,6.02452734310825,5.78070699856505,5.6617090027865,5.72081023741513,5.60323328777845,NA
"30-15",1000,1000,0.7,0.6,0.5,12,6,0.476076486982835,0.585064947036084,0.495739313619428,0.60213943788898,0.492291262337039,0.598781726964438,NA,11.9139783991358,15.1511568832049,11.8986479303308,14.7601423679109,11.9492778535477,14.8023917115073,NA,6.24201341688585,6.28674608379722,6.00002037234938,5.87247853933571,6.0667527750087,5.93899003928687,NA
"30-16",1000,1000,0.7,0.6,0.5,12,6,0.49799698259561,0.579195270361111,0.48366095476239,0.593435127829695,0.485278156286057,0.594843512287021,NA,12.3428999873898,15.2877793685861,11.9951105006922,14.9298646940797,11.9660495325762,14.908112115921,NA,6.19617303719031,6.43316986397685,6.19354390344706,6.06995853086847,6.15918707737997,6.04011834331785,NA
"30-17",1000,1000,0.7,0.6,0.5,12,6,0.50157748070443,0.58733741457695,0.499369908700786,0.60201597195098,0.500233237849012,0.602789056893759,NA,12.470104291617,15.9186980958778,12.6233771246073,15.5712284330182,12.5977338212744,15.5464980589406,NA,6.21538079690625,6.5690511128139,6.31964244239658,6.19710021344402,6.2959286422983,6.17523915599114,NA
