"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.7,0.4,0.5,12,6,0.483214123470372,0.608717816469073,0.456170167147462,0.631249069280333,0.456166125432367,0.63121599219076,NA,11.5921089425944,16.5306079721937,11.1180532561727,16.0655196356927,11.1069365371657,16.0501548631096,NA,5.9906381807256,6.46813238245372,6.04632904395001,5.92417531815677,6.04032833158365,5.91904043637652,NA
"30-2",1000,1000,0.7,0.4,0.5,12,6,0.531538195485771,0.635484817656743,0.518235388070867,0.655422098719582,0.519195347637244,0.656391098203616,NA,12.6790751379883,17.6883629441408,12.6192345699864,17.2735564646789,12.5679116110845,17.209727453379,NA,5.93966241871348,6.4476768439372,6.07950064545221,5.95208583424784,6.04271037309335,5.91341555047064,NA
"30-3",1000,1000,0.7,0.4,0.5,12,6,0.530159449446341,0.633558262869938,0.513687021390103,0.657148215322553,0.5115846095913,0.655313842347224,NA,12.788484382582,17.4489457305968,12.1436731630524,16.9379601484226,12.217183685312,17.0182542979826,NA,6.00854854305918,6.39402198460807,5.90562586718908,5.80720986568217,5.96706053935646,5.86595668392948,NA
"30-4",1000,1000,0.7,0.4,0.5,12,6,0.496951120143001,0.619092249662865,0.489042719524938,0.64037998955934,0.489023052288223,0.640089594833325,NA,11.712857291309,16.7180327382248,11.7040371380478,16.3151608183473,11.6701625192785,16.2746662583058,NA,5.89213974031787,6.3680282403798,5.98026298663605,5.86725830383512,5.96318402340133,5.85742172697928,NA
"30-5",1000,1000,0.7,0.4,0.5,12,6,0.506012113386312,0.626821164138369,0.503276451016087,0.649329774563126,0.505080963933029,0.650941359112168,NA,12.1975486888495,17.1936189727143,12.0858001600444,16.7463142158796,12.0612860717634,16.7307452835041,NA,6.02544129867235,6.41629471248596,6.00330154780762,5.87243378131922,5.96936007636512,5.84001120970042,NA
"30-6",1000,1000,0.7,0.4,0.5,12,6,0.495723566542273,0.627338675107942,0.507594894195014,0.648955394595885,0.51165228250952,0.652903795091607,NA,12.0321697361688,17.2214544335708,12.1437274402353,16.7025935695161,12.1570857876593,16.7526960293725,NA,6.06753964131321,6.4177700257827,5.979633395076,5.86335536883607,5.93688509573937,5.81479721377909,NA
"30-7",1000,1000,0.7,0.4,0.5,12,6,0.481848390215474,0.60770758225164,0.467492986165637,0.624280660168422,0.471093929970096,0.627929860458952,NA,11.7480595345657,16.6398755519651,11.6082485534658,16.214721473862,11.5930326636894,16.2233675668223,NA,6.08727595967968,6.52769701131224,6.18147377305316,6.09218444771235,6.13162534588028,6.03623063441327,NA
"30-8",1000,1000,0.7,0.4,0.5,12,6,0.462308089998909,0.597088706009031,0.447938169472656,0.620226334075497,0.451154223356455,0.623399250000899,NA,11.0785136064407,15.7136398085301,10.6357078514216,15.1952910610612,10.6445927806391,15.239213674247,NA,5.95682714102017,6.33120294856286,5.87156834540987,5.77077139104906,5.84223979174416,5.73909929911798,NA
"30-9",1000,1000,0.7,0.4,0.5,12,6,0.476286031757765,0.618927746381598,0.49464978946735,0.644483993036524,0.491791394028973,0.64191907312865,NA,11.7507469917627,16.8746653791961,11.7711967477452,16.3638768986514,11.8302728684467,16.4163006933992,NA,6.15403033686656,6.4304667651067,5.94857675469428,5.81762017345043,6.01224648273016,5.87836416809117,NA
"30-10",1000,1000,0.7,0.4,0.5,12,6,0.467279193099929,0.599043121837544,0.439289942177683,0.618068944204575,0.440320506647579,0.619130338899823,NA,11.3223023715568,16.0406151845723,10.7957205955261,15.5689046016733,10.7933540462881,15.5752609977355,NA,6.03162605534235,6.43159498821139,6.05326911935101,5.94624817209533,6.04081892419984,5.93214437775431,NA
"30-11",1000,1000,0.7,0.4,0.5,12,6,0.47158142417166,0.6107318258233,0.497262031847017,0.636048567128128,0.495722347999698,0.634780948945821,NA,11.618563328892,16.8910000402009,12.0257962398401,16.3280698120906,12.0834617947689,16.3882270797968,NA,6.1394646874245,6.57512874566759,6.04582436703899,5.94262440414233,6.09341974190142,5.98529274254378,NA
"30-12",1000,1000,0.7,0.4,0.5,12,6,0.463581282118794,0.622375995563652,0.483846897101688,0.650194542972642,0.480012402381227,0.646418423600633,NA,11.1471236049756,16.094967806323,10.8314801143259,15.6046946834873,10.8746740104853,15.6335572681067,NA,5.97952575224436,6.0778461942978,5.59070206999066,5.45860735552967,5.65469561359954,5.52773782358695,NA
"30-13",1000,1000,0.7,0.4,0.5,12,6,0.523324346045178,0.623353013328538,0.495373718135148,0.639610090277825,0.510363465650821,0.654192274669219,NA,12.6316767453555,17.4001410841399,12.3569569984521,16.9974885219247,12.1883124982158,16.8878091896904,NA,6.02121277313826,6.5537107069996,6.23564526529275,6.12572335392014,5.96784309119114,5.8399348817071,NA
"30-14",1000,1000,0.7,0.4,0.5,12,6,0.497100313567648,0.613503689753831,0.491501304756824,0.629542122304682,0.497966173675928,0.635566872753338,NA,12.0991979309726,17.4591616680746,12.6338075347081,17.081395275887,12.5067475232464,16.9696223559664,NA,6.08468284556907,6.74790156470218,6.42427464735246,6.32793744197993,6.27881031396452,6.18429254337969,NA
"30-15",1000,1000,0.7,0.4,0.5,12,6,0.476076486982835,0.599875939209149,0.467201433498426,0.621226572574943,0.468877951716174,0.623054087530264,NA,11.9139783991358,16.7819378781819,11.7734902475983,16.2622350470199,11.8059067719386,16.3175245203498,NA,6.24201341688585,6.71485713175795,6.27289872664063,6.15970250635159,6.27037738655995,6.15082416957055,NA
"30-16",1000,1000,0.7,0.4,0.5,12,6,0.49799698259561,0.626085274877405,0.51706054897539,0.645847105650353,0.52212531530613,0.650432688930638,NA,12.3428999873898,17.9425532918178,13.0654056418247,17.481109817663,12.9784277856723,17.4112076040229,NA,6.19617303719031,6.70898488210757,6.30979982807664,6.19098563836939,6.20206208590033,6.08638902460872,NA
"30-17",1000,1000,0.7,0.4,0.5,12,6,0.50157748070443,0.62180038990448,0.500746809740291,0.643913802205749,0.500237145609504,0.643321400133203,NA,12.470104291617,17.4767436376398,12.4156888737389,17.0436981381774,12.3998874590591,17.0203402823256,NA,6.21538079690625,6.60969762949472,6.19857227948613,6.06902566637657,6.19700315066029,6.07079114115634,NA
"30-18",1000,1000,0.7,0.4,0.5,12,6,0.503988432791437,0.630590471745674,0.500757841667316,0.646989015713814,0.508516950239555,0.654409050007453,NA,11.6265696669545,16.6520963628666,11.6555285848935,16.2250211198143,11.5791557568253,16.1828675063587,NA,5.76691304176565,6.15144306185213,5.81893124723052,5.72761067556981,5.69095878501573,5.59265255512603,NA
"30-19",1000,1000,0.7,0.4,0.5,12,6,0.48939294867357,0.616453976558817,0.496116126881913,0.643640861368957,0.491028948050435,0.638870175665593,NA,12.473820404776,17.3592729860122,12.2017443318881,16.8456390948096,12.2721789985811,16.8943698284189,NA,6.3692206556581,6.65808012361492,6.14826219274844,6.00309743751578,6.2461838546212,6.10106080837742,NA
"30-20",1000,1000,0.7,0.4,0.5,12,6,0.493493708772417,0.625419868388969,0.504727951125008,0.650622552490893,0.500800262725489,0.64711008753161,NA,12.0685926770906,17.4796889120686,12.2294874307924,16.9649800515787,12.303166106358,17.0262937165775,NA,6.11281811720954,6.54754417320253,6.05692329653954,5.92718142746349,6.14173728793858,6.00840729930412,NA
"30-21",1000,1000,0.7,0.4,0.5,12,6,0.500952416522862,0.622732449725442,0.505833413811806,0.647051021094349,0.509855601632633,0.651047886748821,NA,11.6621845913635,16.650872030404,11.774188407612,16.1678153202755,11.7211767676315,16.1234081786132,NA,5.81998503838429,6.28183370084566,5.81841049052623,5.70641390842638,5.74506913492831,5.6262973567384,NA
"30-22",1000,1000,0.7,0.4,0.5,12,6,0.496002259098259,0.627712765244212,0.502815675816756,0.651663905895746,0.506865896631958,0.655271378385597,NA,11.7195844863829,16.6539880380909,11.6765233687577,16.1872714092662,11.605687744534,16.1293812838737,NA,5.90664410544407,6.20006715435681,5.80538437990566,5.63861089690925,5.72316041987023,5.56025937748294,NA
"30-23",1000,1000,0.7,0.4,0.5,12,6,0.510445376333057,0.640768341944047,0.519299695622575,0.66170051230604,0.527201462750478,0.669302778601293,NA,12.0699247111277,16.9554494210667,11.8473946950216,16.4947852561831,11.7757226225201,16.4554118892381,NA,5.90888744964446,6.09093420861364,5.69504623597639,5.58017740178864,5.5675444309836,5.44175898874227,NA
"30-24",1000,1000,0.7,0.4,0.5,12,6,0.524337468955211,0.643876500453729,0.519323708137372,0.663266522869872,0.518734235230418,0.662473201755693,NA,13.0857031962572,17.853511683022,12.5097913178137,17.4290451477152,12.4985453174989,17.4144404141213,NA,6.22437870283258,6.35805505974803,6.01316010262199,5.86894297564812,6.01512197073341,5.87784031619463,NA
"30-25",1000,1000,0.7,0.4,0.5,12,6,0.483954924813009,0.620553311018422,0.486574110076698,0.642603728434083,0.492636669903535,0.648343417912353,NA,11.3951586772837,16.6257120346015,11.481224165149,16.1220777977808,11.4264386350814,16.1012495625641,NA,5.88041551638658,6.30857138349071,5.89475773440055,5.76197049482252,5.79735595703782,5.66211038851151,NA
"30-26",1000,1000,0.7,0.4,0.5,12,6,0.504514621871675,0.621122689964329,0.492674936687959,0.63956902351608,0.498047672578185,0.6447344923209,NA,11.8548082153256,16.7780544445448,11.8286375453908,16.3506342715623,11.760047628861,16.3014382266568,NA,5.87388413120938,6.35682413558117,6.00096429161058,5.89327507663065,5.90298327789817,5.79133872749271,NA
"30-27",1000,1000,0.7,0.4,0.5,12,6,0.511100203643964,0.62488369045676,0.48934947313801,0.643315904926827,0.491324924328025,0.64550534991317,NA,12.0033982665108,16.6816865540716,11.511661977853,16.1649821098926,11.5656546045656,16.2510539324259,NA,5.86845896807751,6.25757269712042,5.87843625404776,5.76579201574108,5.88316023117334,5.76091167731752,NA
"30-28",1000,1000,0.7,0.4,0.5,12,6,0.487557602836066,0.619445493026572,0.513172649268051,0.642647915893465,0.51732883798412,0.646527680797783,NA,12.1278611633943,17.60695872847,12.867924542832,17.186449284094,12.7662073686569,17.0855402729876,NA,6.21483024704113,6.70040749821439,6.26445761460551,6.14161347006228,6.16188014516532,6.03926554511579,NA
"30-29",1000,1000,0.7,0.4,0.5,12,6,0.519743715696864,0.636536053197655,0.523573458621849,0.661093848778792,0.522681269795204,0.660235087580652,NA,12.3766574392525,17.37918721603,12.3157584778707,16.9257588546907,12.3246253744068,16.9310753638023,NA,5.94396751386815,6.31670797775512,5.86755421606059,5.73624378994152,5.88277453396169,5.75258533814766,NA
"30-30",1000,1000,0.7,0.4,0.5,12,6,0.492549635597285,0.599266337941885,0.468142342859311,0.622421429156983,0.467516387854411,0.621652437700239,NA,12.1556192106129,16.9743129674107,11.9101050549601,16.4800692669664,11.8898734160741,16.4504007165559,NA,6.16837339796617,6.80217859635106,6.33448057083054,6.2225210012151,6.33116274454496,6.22396900996316,NA
"30-31",1000,1000,0.7,0.4,0.5,12,6,0.49290012918088,0.624257294108226,0.496551841717195,0.642821634819798,0.498289583151956,0.644433440243896,NA,12.0782955958924,17.3941421581926,12.2748283332588,16.9491321604099,12.2708946143046,16.9604703962184,NA,6.12490213639216,6.53572204118547,6.17973971761671,6.05386331627839,6.15643565204118,6.03057611062862,NA
"30-32",1000,1000,0.7,0.4,0.5,12,6,0.529106564929779,0.643841067355155,0.540107473032263,0.668863347281462,0.538511394821214,0.667373026968198,NA,12.5961986444509,17.8616169384444,12.7426374305385,17.3992745661227,12.7381768639129,17.3805113203693,NA,5.93146724851233,6.36157442410746,5.86024372816401,5.76153753955666,5.87852347344783,5.78122687023941,NA
"30-33",1000,1000,0.7,0.4,0.5,12,6,0.512060835662289,0.644949909349602,0.543077700867143,0.666943082876864,0.554274193422682,0.677573036363301,NA,11.9776010546828,17.5455662184482,12.7500636756202,17.1092115971974,12.6220295982861,17.0154008001237,NA,5.84434064939242,6.22955487637261,5.8257884087547,5.69834126896997,5.62596432333883,5.48622401504532,NA
