"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,1,0.5,12,6,0.483214123470372,0.520393137557173,0.520393137557188,0.520393137557186,0.535176029093376,0.535176029093374,NA,11.5921089425944,12.8190553126492,12.8190553126491,12.8190553126494,12.4649611567425,12.4649611567427,NA,5.9906381807256,6.14810689798072,6.14810689798049,6.14810689798066,5.79401274207385,5.79401274207401,NA
"30-2",1000,1000,0.5,1,0.5,12,6,0.543071828169962,0.57377291713497,0.573772917134969,0.573772917134968,0.587303633893108,0.587303633893107,NA,13.2260022329462,14.4903338788825,14.4903338788822,14.4903338788824,14.1564953120298,14.1564953120301,NA,6.04333302092009,6.17617273893641,6.17617273893628,6.1761727389364,5.84233417208395,5.84233417208407,NA
"30-3",1000,1000,0.5,1,0.5,12,6,0.528517190216541,0.565332401209159,0.565332401209164,0.565332401209165,0.584377855401516,0.584377855401516,NA,12.3586708580123,14.0523350341952,14.0523350341956,14.0523350341953,13.5943554911387,13.5943554911384,NA,5.82690086132459,6.10809472671802,6.10809472671814,6.108094726718,5.65011518366123,5.65011518366111,NA
"30-4",1000,1000,0.5,1,0.5,12,6,0.50455966121139,0.547320870188471,0.547320870188479,0.547320870188458,0.564464021462215,0.564464021462194,NA,11.9144976963659,13.3870486291466,13.387048629147,13.3870486291461,12.9804749751455,12.9804749751446,NA,5.90292277518363,6.0600375241867,6.06003752418679,6.06003752418667,5.65346387018522,5.65346387018511,NA
"30-5",1000,1000,0.5,1,0.5,12,6,0.50134495401822,0.551999810706553,0.551999810706559,0.551999810706565,0.570076424161388,0.570076424161394,NA,12.0058671728398,13.6789182856998,13.6789182857002,13.6789182857002,13.2451720231801,13.2451720231802,NA,5.98678624712359,6.12815798132312,6.12815798132318,6.12815798132312,5.69441171880315,5.6944117188031,NA
"30-6",1000,1000,0.5,1,0.5,12,6,0.502361998444071,0.543443928261032,0.543443928261017,0.54344392826104,0.560464138082049,0.560464138082071,NA,12.3398842803872,13.7983461827849,13.7983461827848,13.7983461827852,13.3793171472823,13.3793171472827,NA,6.14079535272331,6.29971872970666,6.2997187297068,6.29971872970667,5.88068969420436,5.88068969420424,NA
"30-7",1000,1000,0.5,1,0.5,12,6,0.497505698132117,0.542336301475909,0.542336301475891,0.54233630147592,0.56000245057239,0.560002450572418,NA,11.8128197836396,13.2574520761302,13.2574520761299,13.2574520761303,12.8392251116279,12.8392251116283,NA,5.93587463027111,6.06745455016762,6.06745455016776,6.06745455016753,5.64922758566573,5.64922758566553,NA
"30-8",1000,1000,0.5,1,0.5,12,6,0.503921040835138,0.553449959916122,0.55344995991612,0.55344995991611,0.569925883968848,0.569925883968839,NA,11.9176620192297,13.4061522885853,13.4061522885855,13.4061522885851,13.0185953216905,13.0185953216901,NA,5.91210137017807,5.98651784183833,5.98651784183847,5.98651784183841,5.59896087494333,5.59896087494328,NA
"30-9",1000,1000,0.5,1,0.5,12,6,0.51545278200062,0.55063493654632,0.550634936546311,0.5506349365463,0.564955222906467,0.564955222906456,NA,12.4047938806342,13.7849983966443,13.7849983966439,13.7849983966441,13.4355811038916,13.4355811038917,NA,6.01070836471704,6.19449667921694,6.19449667921689,6.1944966792171,5.8450793864646,5.84507938646481,NA
"30-10",1000,1000,0.5,1,0.5,12,6,0.533990969500717,0.569130539928934,0.569130539928925,0.569130539928928,0.587283952805969,0.587283952805972,NA,12.6993637517408,14.3434092246536,14.3434092246535,14.3434092246534,13.9000430668086,13.9000430668085,NA,5.91801818990647,6.18013698820485,6.18013698820494,6.18013698820485,5.73677083036003,5.73677083035996,NA
"30-11",1000,1000,0.5,1,0.5,12,6,0.492006048367954,0.526668863389695,0.526668863389675,0.526668863389703,0.542462225059634,0.542462225059662,NA,11.7071891877737,13.076471048221,13.0764710482208,13.0764710482212,12.6957598630158,12.6957598630162,NA,5.94718129800111,6.18950090410621,6.18950090410636,6.18950090410617,5.80878971890146,5.80878971890126,NA
"30-12",1000,1000,0.5,1,0.5,12,6,0.524235777744814,0.565224650050266,0.565224650050267,0.565224650050256,0.582029845711089,0.582029845711078,NA,12.7670575054893,14.3496017718654,14.3496017718657,14.3496017718652,13.9352796074472,13.9352796074467,NA,6.07410918458633,6.23885313200208,6.2388531320022,6.23885313200215,5.82453096758383,5.82453096758378,NA
"30-13",1000,1000,0.5,1,0.5,12,6,0.503150860697687,0.548801612620011,0.548801612620011,0.548801612619997,0.566325270462995,0.566325270462981,NA,11.9633186590314,13.6555710862563,13.6555710862565,13.6555710862559,13.2330302464834,13.2330302464829,NA,5.94396457893907,6.16137165287163,6.16137165287171,6.16137165287168,5.73883081309871,5.73883081309869,NA
"30-14",1000,1000,0.5,1,0.5,12,6,0.504222609107544,0.543062086581702,0.543062086581691,0.543062086581711,0.559438751669264,0.559438751669283,NA,11.7434295053779,13.2051438843231,13.205143884323,13.2051438843233,12.818584644046,12.8185846440463,NA,5.82212684030572,6.03393089289099,6.0339308928911,6.03393089289097,5.64737165261412,5.647371652614,NA
"30-15",1000,1000,0.5,1,0.5,12,6,0.49094173517488,0.531968876558633,0.531968876558632,0.531968876558645,0.549552927229841,0.549552927229854,NA,12.2963757189812,13.9026089799733,13.9026089799734,13.9026089799735,13.4577670572889,13.4577670572891,NA,6.25957168714231,6.50685369966293,6.506853699663,6.50685369966289,6.06201177697847,6.06201177697838,NA
"30-16",1000,1000,0.5,1,0.5,12,6,0.525598013244826,0.562372590105946,0.562372590105941,0.562372590105944,0.578819330444175,0.578819330444178,NA,12.7708615290615,14.2667663474673,14.2667663474675,14.2667663474674,13.8613863104824,13.8613863104823,NA,6.05852208196198,6.24352800420577,6.24352800420592,6.24352800420583,5.83814796722092,5.83814796722083,NA
"30-17",1000,1000,0.5,1,0.5,12,6,0.52504869235873,0.560125902594766,0.560125902594768,0.56012590259476,0.577127582589388,0.577127582589381,NA,12.5514329805382,14.1359802636628,14.1359802636632,14.1359802636628,13.7195464973637,13.7195464973633,NA,5.9613195068784,6.21805155941687,6.21805155941704,6.21805155941697,5.80161779311746,5.8016177931174,NA
"30-18",1000,1000,0.5,1,0.5,12,6,0.520084627345288,0.560358197490729,0.560358197490703,0.560358197490714,0.57770304080005,0.57770304080006,NA,12.5152288539091,14.1637167030668,14.1637167030666,14.1637167030666,13.7384680380214,13.7384680380215,NA,6.00625071928278,6.22696194156694,6.22696194156723,6.22696194156709,5.80171327652215,5.80171327652203,NA
"30-19",1000,1000,0.5,1,0.5,12,6,0.503988432791437,0.540434712465232,0.540434712465228,0.540434712465228,0.554485073840816,0.554485073840815,NA,11.6265696669545,13.0368037431002,13.0368037431005,13.0368037431003,12.7064579638997,12.7064579638995,NA,5.76691304176565,5.99126246073218,5.99126246073238,5.99126246073229,5.66091668153157,5.66091668153149,NA
"30-20",1000,1000,0.5,1,0.5,12,6,0.507459770833898,0.55106566570038,0.551065665700384,0.551065665700386,0.567278078509741,0.567278078509744,NA,12.7368026531118,14.130691961588,14.1306919615881,14.130691961588,13.7268466165237,13.7268466165236,NA,6.2733876976071,6.34375278896847,6.34375278896851,6.34375278896839,5.93990744390422,5.9399074439041,NA
"30-21",1000,1000,0.5,1,0.5,12,6,0.483218438119464,0.535960116181619,0.535960116181626,0.535960116181616,0.554681587104685,0.554681587104675,NA,11.7587938121596,13.3930529086139,13.3930529086142,13.3930529086138,12.941014015619,12.9410140156186,NA,6.076727832079,6.21491071568664,6.21491071568667,6.21491071568661,5.76287182269149,5.76287182269144,NA
