"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,0.4,0.5,12,6,0.483214123470372,0.621925906382725,0.621925906382719,0.621925906382722,0.656607401585868,0.656607401585871,NA,11.5921089425944,17.8164821892217,17.8164821892213,17.8164821892217,16.9896052264515,16.989605226452,NA,5.9906381807256,6.73595035513831,6.73595035513825,6.73595035513838,5.8341046847415,5.8341046847416,NA
"30-2",1000,1000,0.3,0.4,0.5,12,6,0.531538195485771,0.657864237660463,0.657864237660468,0.657864237660473,0.691935993263494,0.691935993263499,NA,12.6790751379883,19.105842810696,19.1058428106957,19.1058428106963,18.2552781493224,18.2552781493229,NA,5.93966241871348,6.53679209517684,6.53679209517664,6.53679209517675,5.62379413076964,5.62379413076973,NA
"30-3",1000,1000,0.3,0.4,0.5,12,6,0.530159449446341,0.643957135087784,0.643957135087784,0.643957135087781,0.681932981136568,0.681932981136565,NA,12.788484382582,19.4880398770294,19.4880398770293,19.4880398770295,18.5621517103669,18.562151710367,NA,6.00854854305918,6.93857754934106,6.93857754934102,6.93857754934113,5.90400825820716,5.90400825820723,NA
"30-4",1000,1000,0.3,0.4,0.5,12,6,0.496951120143001,0.642367462440043,0.642367462440041,0.642367462440043,0.676064290923127,0.676064290923128,NA,11.712857291309,18.264068597215,18.264068597215,18.2640685972151,17.4671880829191,17.4671880829192,NA,5.89213974031787,6.53182519859112,6.53182519859115,6.53182519859118,5.6582459572195,5.65824595721953,NA
"30-5",1000,1000,0.3,0.4,0.5,12,6,0.506012113386312,0.660794295664844,0.660794295664831,0.660794295664852,0.700942535705641,0.70094253570566,NA,12.1975486888495,18.7413083307206,18.7413083307204,18.7413083307209,17.8591863220217,17.8591863220222,NA,6.02544129867235,6.3571586924844,6.35715869248458,6.35715869248437,5.3409229758243,5.34092297582412,NA
"30-6",1000,1000,0.3,0.4,0.5,12,6,0.495723566542273,0.644286054216515,0.644286054216514,0.644286054216524,0.683613237028397,0.683613237028407,NA,12.0321697361688,18.9557768885623,18.9557768885618,18.9557768885625,18.0826475178795,18.0826475178801,NA,6.06753964131321,6.74283419242189,6.74283419242173,6.74283419242179,5.72111031413837,5.72111031413841,NA
"30-7",1000,1000,0.3,0.4,0.5,12,6,0.481848390215474,0.631835756447511,0.631835756447514,0.631835756447508,0.667975062071932,0.667975062071925,NA,11.7480595345657,18.6763461469498,18.6763461469503,18.6763461469498,17.7927360125136,17.7927360125132,NA,6.08727595967968,6.87596285151622,6.87596285151633,6.87596285151629,5.90763207012533,5.90763207012531,NA
"30-8",1000,1000,0.3,0.4,0.5,12,6,0.462308089998909,0.618325627306867,0.618325627306856,0.618325627306865,0.660593847405381,0.66059384740539,NA,11.0785136064407,17.1882872584403,17.18828725844,17.1882872584404,16.2910624357613,16.2910624357617,NA,5.95682714102017,6.56032875703456,6.56032875703466,6.56032875703465,5.52928682300046,5.52928682300045,NA
"30-9",1000,1000,0.3,0.4,0.5,12,6,0.476286031757765,0.638591239052339,0.638591239052342,0.638591239052337,0.677344221136213,0.677344221136208,NA,11.7507469917627,18.6545851913733,18.6545851913734,18.6545851913735,17.7439242264862,17.7439242264862,NA,6.15403033686656,6.74193052000681,6.7419305200068,6.74193052000691,5.72517969139692,5.72517969139701,NA
"30-10",1000,1000,0.3,0.4,0.5,12,6,0.467279193099929,0.610218608679634,0.610218608679649,0.610218608679638,0.645918501005441,0.645918501005432,NA,11.3223023715568,17.574912685602,17.5749126856018,17.5749126856019,16.6624578620971,16.6624578620972,NA,6.03162605534235,6.8503739189279,6.85037391892755,6.8503739189278,5.899868056745,5.89986805674521,NA
