"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.3,1,0.5,12,6,0.483214123470372,0.585856688617102,0.585856688617113,0.58585668861709,0.610630425233857,0.610630425233835,NA,11.5921089425944,13.4155401601112,13.4155401601117,13.4155401601109,12.8712615838015,12.8712615838007,NA,5.9906381807256,5.5559562258987,5.55595622589877,5.55595622589873,5.01167764958858,5.01167764958854,NA
"30-2",1000,1000,0.3,1,0.5,12,6,0.543071828169962,0.627732460598764,0.627732460598763,0.627732460598767,0.649918780115951,0.649918780115954,NA,13.2260022329462,15.1260638589335,15.1260638589334,15.1260638589334,14.6097044366809,14.6097044366809,NA,6.04333302092009,5.63094257359112,5.63094257359112,5.63094257359105,5.11458315133865,5.11458315133859,NA
"30-3",1000,1000,0.3,1,0.5,12,6,0.528517190216541,0.630056663752411,0.630056663752417,0.63005666375241,0.657380956127764,0.657380956127757,NA,12.3586708580123,14.4602195862037,14.4602195862041,14.4602195862037,13.8591749953894,13.8591749953891,NA,5.82690086132459,5.34946187659293,5.34946187659298,5.34946187659296,4.74841728577832,4.7484172857783,NA
"30-4",1000,1000,0.3,1,0.5,12,6,0.50455966121139,0.613889997879343,0.613889997879329,0.61388999787935,0.640500731802623,0.640500731802643,NA,11.9144976963659,13.952717685983,13.952717685983,13.9527176859833,13.3730273914793,13.3730273914796,NA,5.90292277518363,5.38728385532383,5.38728385532401,5.38728385532383,4.80759356082027,4.80759356082012,NA
"30-5",1000,1000,0.3,1,0.5,12,6,0.50134495401822,0.611537417545646,0.611537417545637,0.611537417545642,0.638609125757391,0.638609125757396,NA,12.0058671728398,14.2940608504682,14.2940608504682,14.2940608504683,13.6881117199324,13.6881117199325,NA,5.98678624712359,5.55270779173257,5.55270779173268,5.55270779173264,4.94675866119687,4.94675866119683,NA
"30-6",1000,1000,0.3,1,0.5,12,6,0.502361998444071,0.608800106393254,0.608800106393262,0.608800106393255,0.635326209572333,0.635326209572327,NA,12.3398842803872,14.3917618315426,14.391761831543,14.3917618315426,13.7908778234219,13.7908778234216,NA,6.14079535272331,5.6300556973131,5.63005569731312,5.63005569731308,5.02917168919213,5.02917168919209,NA
"30-7",1000,1000,0.3,1,0.5,12,6,0.497505698132117,0.60921247034877,0.609212470348758,0.609212470348778,0.637767082577646,0.637767082577666,NA,11.8128197836396,13.7240664196429,13.7240664196428,13.7240664196432,13.1096016635872,13.1096016635876,NA,5.93587463027111,5.36319401290167,5.3631940129018,5.36319401290163,4.74872925684615,4.748729256846,NA
"30-8",1000,1000,0.3,1,0.5,12,6,0.503921040835138,0.618448126695311,0.618448126695314,0.61844812669533,0.645820969574608,0.645820969574624,NA,11.9176620192297,14.0936290992609,14.0936290992612,14.0936290992613,13.4962767166231,13.4962767166233,NA,5.91210137017807,5.37745058448447,5.37745058448454,5.37745058448436,4.78009820184637,4.78009820184621,NA
"30-9",1000,1000,0.3,1,0.5,12,6,0.51545278200062,0.615619369441284,0.615619369441284,0.615619369441292,0.641070413932414,0.641070413932422,NA,12.4047938806342,14.618707068844,14.6187070688444,14.6187070688443,14.0383318777171,14.0383318777171,NA,6.01070836471704,5.61914784107543,5.61914784107555,5.61914784107542,5.03877264994841,5.0387726499483,NA
"30-10",1000,1000,0.3,1,0.5,12,6,0.533990969500717,0.629336273047863,0.629336273047849,0.629336273047858,0.657483964979217,0.657483964979226,NA,12.6993637517408,14.8860374268325,14.8860374268322,14.8860374268323,14.2487479750924,14.2487479750926,NA,5.91801818990647,5.51771411217873,5.51771411217883,5.51771411217874,4.88042466043906,4.88042466043899,NA
