"sim","n1","n0","prop_obs_s0","prop_obs_s1","R.true","delta.true","deltat.s.true","R.gold","R.complete","R.ipw.ipw","R.ipw.complete","R.smle.ipw","R.smle.complete","R.layla","delta.gold","delta.complete","delta.ipw.ipw","delta.ipw.complete","delta.smle.ipw","delta.smle.complete","delta.layla","delta.s.gold","delta.s.complete","delta.s.ipw.ipw","delta.s.ipw.complete","delta.s.smle.ipw","delta.s.smle.complete","delta.s.layla"
"30-1",1000,1000,0.5,0.6,0.5,12,6,0.483214123470372,0.63654058955513,0.636540589555155,0.636540589555146,0.65751341733447,0.657513417334462,NA,11.5921089425944,15.5571304960905,15.5571304960907,15.5571304960909,15.0752974649892,15.0752974649893,NA,5.9906381807256,5.65438547832296,5.65438547832266,5.65438547832284,5.16308711145046,5.16308711145064,NA
"30-2",1000,1000,0.5,0.6,0.5,12,6,0.531538195485771,0.646998613873999,0.646998613873988,0.646998613873998,0.670752952396844,0.670752952396855,NA,12.6790751379883,16.0953680445587,16.0953680445586,16.0953680445587,15.6427348320733,15.6427348320735,NA,5.93966241871348,5.68168722993735,5.6816872299375,5.68168722993738,5.15032425989919,5.15032425989907,NA
"30-3",1000,1000,0.5,0.6,0.5,12,6,0.530159449446341,0.667592658287534,0.667592658287536,0.667592658287532,0.696800161290779,0.696800161290776,NA,12.788484382582,17.2964153007491,17.2964153007492,17.2964153007488,16.6930200657166,16.6930200657162,NA,6.00854854305918,5.74945543127684,5.74945543127682,5.74945543127676,5.06132099149506,5.061320991495,NA
"30-4",1000,1000,0.5,0.6,0.5,12,6,0.496951120143001,0.622616742306982,0.622616742306964,0.622616742306978,0.645199922497977,0.64519992249799,NA,11.712857291309,15.7193201007165,15.7193201007162,15.7193201007164,15.2269751772344,15.2269751772346,NA,5.89213974031787,5.93220822832772,5.93220822832792,5.93220822832776,5.40253197300415,5.402531973004,NA
"30-5",1000,1000,0.5,0.6,0.5,12,6,0.506012113386312,0.640301826747398,0.640301826747399,0.640301826747402,0.663962770070232,0.663962770070234,NA,12.1975486888495,16.1841990481247,16.1841990481245,16.1841990481248,15.6818623076596,15.6818623076599,NA,6.02544129867235,5.82142683316694,5.82142683316685,5.82142683316694,5.26968957000597,5.26968957000605,NA
"30-6",1000,1000,0.5,0.6,0.5,12,6,0.495723566542273,0.641487745347272,0.641487745347273,0.641487745347272,0.661577697623458,0.661577697623457,NA,12.0321697361688,15.7923446973071,15.7923446973075,15.7923446973072,15.3090945756152,15.3090945756149,NA,6.06753964131321,5.66174910368464,5.66174910368475,5.66174910368465,5.18093903357993,5.18093903357984,NA
"30-7",1000,1000,0.5,0.6,0.5,12,6,0.481848390215474,0.635397433597969,0.635397433597966,0.635397433597959,0.659080725724564,0.659080725724558,NA,11.7480595345657,15.6822196099129,15.6822196099133,15.6822196099127,15.1986207050647,15.1986207050641,NA,6.08727595967968,5.7177775166545,5.7177775166547,5.7177775166546,5.18150274075826,5.18150274075815,NA
"30-8",1000,1000,0.5,0.6,0.5,12,6,0.462308089998909,0.611756457955266,0.611756457955276,0.611756457955279,0.631368269025958,0.631368269025961,NA,11.0785136064407,14.8034363880363,14.8034363880359,14.8034363880365,14.3261756912619,14.3261756912625,NA,5.95682714102017,5.74733857772511,5.74733857772483,5.747338577725,5.28108294330813,5.2810829433083,NA
"30-9",1000,1000,0.5,0.6,0.5,12,6,0.476286031757765,0.633096033761311,0.633096033761311,0.633096033761312,0.653516506761688,0.653516506761689,NA,11.7507469917627,15.4504410962329,15.4504410962331,15.450441096233,14.9689714461987,14.9689714461986,NA,6.15403033686656,5.6688281183451,5.66882811834515,5.66882811834509,5.18650151686346,5.18650151686341,NA
"30-10",1000,1000,0.5,0.6,0.5,12,6,0.467279193099929,0.62595960384154,0.625959603841545,0.625959603841538,0.652543814971911,0.652543814971905,NA,11.3223023715568,15.5161715042938,15.5161715042942,15.5161715042936,14.9352996526293,14.9352996526286,NA,6.03162605534235,5.80367493632865,5.80367493632875,5.8036749363286,5.18936223955391,5.18936223955377,NA
